"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1897","invalid_Stackpan","Suite","Sat Oct 19 06:26:01 CDT 2024","passed","Sat Oct 19 06:26:03 CDT 2024","StepDefination.StackClassFile","Test7","StepDefination.StackClassFile","invalid_Stackpan"
"","1951","Array_invalid","Suite","Sat Oct 19 06:22:00 CDT 2024","passed","Sat Oct 19 06:22:02 CDT 2024","StepDefination.ArraysDocClassFile","Test1","StepDefination.ArraysDocClassFile","Array_invalid"
"","2041","userClicks_linked_list","Suite","Sat Oct 19 06:24:33 CDT 2024","passed","Sat Oct 19 06:24:35 CDT 2024","StepDefination.LinkedListFile","Test5","StepDefination.LinkedListFile","userClicks_linked_list"
"","1865","valid_trees_pane","Suite","Sat Oct 19 06:27:28 CDT 2024","passed","Sat Oct 19 06:27:30 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","valid_trees_pane"
"","1994","graphs_Topic","Suite","Sat Oct 19 06:23:06 CDT 2024","passed","Sat Oct 19 06:23:08 CDT 2024","StepDefination.GraphsFile","Test3","StepDefination.GraphsFile","graphs_Topic"
"","2007","userClicks_linked_list","Suite","Sat Oct 19 06:24:09 CDT 2024","passed","Sat Oct 19 06:24:11 CDT 2024","StepDefination.LinkedListFile","Test5","StepDefination.LinkedListFile","userClicks_linked_list"
"","2101","invalid_linked_list","Suite","Sat Oct 19 06:23:57 CDT 2024","passed","Sat Oct 19 06:23:59 CDT 2024","StepDefination.LinkedListFile","Test5","StepDefination.LinkedListFile","invalid_linked_list"
"","1766","valid_trees_pane","Suite","Sat Oct 19 06:27:46 CDT 2024","passed","Sat Oct 19 06:27:47 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","valid_trees_pane"
"","2062","userClicks_linked_list","Suite","Sat Oct 19 06:24:39 CDT 2024","passed","Sat Oct 19 06:24:41 CDT 2024","StepDefination.LinkedListFile","Test5","StepDefination.LinkedListFile","userClicks_linked_list"
"","1924","Graph_Representation","Suite","Sat Oct 19 06:22:54 CDT 2024","passed","Sat Oct 19 06:22:56 CDT 2024","StepDefination.GraphsFile","Test3","StepDefination.GraphsFile","Graph_Representation"
"Verify Queues and Topics........","1909","Verify Queuepane on DsAlgo","Suite","Sat Oct 19 06:25:32 CDT 2024","passed","Sat Oct 19 06:25:34 CDT 2024","StepDefination.QueuesFile","Test6","StepDefination.QueuesFile","queues_pane_validcode"
"","1868","invalid_trees_pane","Suite","Sat Oct 19 06:26:53 CDT 2024","passed","Sat Oct 19 06:26:55 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","invalid_trees_pane"
"","1769","Valid_Stackpane","Suite","Sat Oct 19 06:25:49 CDT 2024","passed","Sat Oct 19 06:25:51 CDT 2024","StepDefination.StackClassFile","Test7","StepDefination.StackClassFile","Valid_Stackpane"
"","2149","invalid_linked_list","Suite","Sat Oct 19 06:23:45 CDT 2024","passed","Sat Oct 19 06:23:47 CDT 2024","StepDefination.LinkedListFile","Test5","StepDefination.LinkedListFile","invalid_linked_list"
"","1983","valid_trees_pane","Suite","Sat Oct 19 06:28:16 CDT 2024","passed","Sat Oct 19 06:28:18 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","valid_trees_pane"
"","2638","Array_invalid","Suite","Sat Oct 19 06:21:53 CDT 2024","passed","Sat Oct 19 06:21:55 CDT 2024","StepDefination.ArraysDocClassFile","Test1","StepDefination.ArraysDocClassFile","Array_invalid"
"","1967","invalid_trees_pane","Suite","Sat Oct 19 06:26:59 CDT 2024","passed","Sat Oct 19 06:27:01 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","invalid_trees_pane"
"","2031","userClicks_linked_list","Suite","Sat Oct 19 06:24:45 CDT 2024","passed","Sat Oct 19 06:24:47 CDT 2024","StepDefination.LinkedListFile","Test5","StepDefination.LinkedListFile","userClicks_linked_list"
"","2032","Array_valid","Suite","Sat Oct 19 06:22:18 CDT 2024","passed","Sat Oct 19 06:22:20 CDT 2024","StepDefination.ArraysDocClassFile","Test1","StepDefination.ArraysDocClassFile","Array_valid"
"","1740","graphs_Topic","Suite","Sat Oct 19 06:23:12 CDT 2024","passed","Sat Oct 19 06:23:14 CDT 2024","StepDefination.GraphsFile","Test3","StepDefination.GraphsFile","graphs_Topic"
"","1355","LoginTest","Suite","Sat Oct 19 06:28:33 CDT 2024","passed","Sat Oct 19 06:28:34 CDT 2024","StepDefination.SigninPositiveNegativeLogin","Test9","StepDefination.SigninPositiveNegativeLogin","LoginTest"
"","1935","Graph_Representation","Suite","Sat Oct 19 06:23:00 CDT 2024","passed","Sat Oct 19 06:23:02 CDT 2024","StepDefination.GraphsFile","Test3","StepDefination.GraphsFile","Graph_Representation"
"","1845","invalid_trees_pane","Suite","Sat Oct 19 06:27:11 CDT 2024","passed","Sat Oct 19 06:27:13 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","invalid_trees_pane"
"Verify Queues and Topics........","1847","Verify Queuepane on DsAlgo","Suite","Sat Oct 19 06:25:20 CDT 2024","passed","Sat Oct 19 06:25:22 CDT 2024","StepDefination.QueuesFile","Test6","StepDefination.QueuesFile","queues_pane_validcode"
"","1939","Dspage","Suite","Sat Oct 19 06:22:48 CDT 2024","passed","Sat Oct 19 06:22:50 CDT 2024","StepDefination.DataStructure","Test2","StepDefination.DataStructure","Dspage"
"","1941","invalid_linked_list","Suite","Sat Oct 19 06:23:51 CDT 2024","passed","Sat Oct 19 06:23:53 CDT 2024","StepDefination.LinkedListFile","Test5","StepDefination.LinkedListFile","invalid_linked_list"
"","2028","invalid_linked_list","Suite","Sat Oct 19 06:23:39 CDT 2024","passed","Sat Oct 19 06:23:41 CDT 2024","StepDefination.LinkedListFile","Test5","StepDefination.LinkedListFile","invalid_linked_list"
"","1777","invalid_trees_pane","Suite","Sat Oct 19 06:26:24 CDT 2024","passed","Sat Oct 19 06:26:26 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","invalid_trees_pane"
"","1982","invalid_linked_list","Suite","Sat Oct 19 06:24:03 CDT 2024","passed","Sat Oct 19 06:24:05 CDT 2024","StepDefination.LinkedListFile","Test5","StepDefination.LinkedListFile","invalid_linked_list"
"","2050","Array_invalid","Suite","Sat Oct 19 06:22:12 CDT 2024","passed","Sat Oct 19 06:22:14 CDT 2024","StepDefination.ArraysDocClassFile","Test1","StepDefination.ArraysDocClassFile","Array_invalid"
"","1385","LoginTest","Suite","Sat Oct 19 06:28:29 CDT 2024","passed","Sat Oct 19 06:28:30 CDT 2024","StepDefination.SigninPositiveNegativeLogin","Test9","StepDefination.SigninPositiveNegativeLogin","LoginTest"
"","1874","queues_paneIn","Suite","Sat Oct 19 06:25:02 CDT 2024","passed","Sat Oct 19 06:25:04 CDT 2024","StepDefination.QueuesFile","Test6","StepDefination.QueuesFile","queues_paneIn"
"","1616","LoginTest","Suite","Sat Oct 19 06:28:21 CDT 2024","passed","Sat Oct 19 06:28:22 CDT 2024","StepDefination.SigninPositiveNegativeLogin","Test9","StepDefination.SigninPositiveNegativeLogin","LoginTest"
"","1837","invalid_trees_pane","Suite","Sat Oct 19 06:26:18 CDT 2024","passed","Sat Oct 19 06:26:20 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","invalid_trees_pane"
"","1969","queues_paneIn","Suite","Sat Oct 19 06:25:08 CDT 2024","passed","Sat Oct 19 06:25:10 CDT 2024","StepDefination.QueuesFile","Test6","StepDefination.QueuesFile","queues_paneIn"
"","1842","Valid_Stackpane","Suite","Sat Oct 19 06:25:43 CDT 2024","passed","Sat Oct 19 06:25:45 CDT 2024","StepDefination.StackClassFile","Test7","StepDefination.StackClassFile","Valid_Stackpane"
"","1457","Homepage","Suite","Sat Oct 19 06:23:17 CDT 2024","passed","Sat Oct 19 06:23:18 CDT 2024","StepDefination.HomepageFile","Test4","StepDefination.HomepageFile","Homepage"
"Verify Queues and Topics........","1919","Verify Queuepane on DsAlgo","Suite","Sat Oct 19 06:25:26 CDT 2024","passed","Sat Oct 19 06:25:28 CDT 2024","StepDefination.QueuesFile","Test6","StepDefination.QueuesFile","queues_pane_validcode"
"","1527","LoginTest","Suite","Sat Oct 19 06:28:24 CDT 2024","passed","Sat Oct 19 06:28:26 CDT 2024","StepDefination.SigninPositiveNegativeLogin","Test9","StepDefination.SigninPositiveNegativeLogin","LoginTest"
"","1867","queues_paneIn","Suite","Sat Oct 19 06:24:57 CDT 2024","passed","Sat Oct 19 06:24:58 CDT 2024","StepDefination.QueuesFile","Test6","StepDefination.QueuesFile","queues_paneIn"
"","1856","valid_trees_pane","Suite","Sat Oct 19 06:27:16 CDT 2024","passed","Sat Oct 19 06:27:18 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","valid_trees_pane"
"","1822","invalid_Stackpan","Suite","Sat Oct 19 06:26:06 CDT 2024","passed","Sat Oct 19 06:26:08 CDT 2024","StepDefination.StackClassFile","Test7","StepDefination.StackClassFile","invalid_Stackpan"
"","2132","invalid_trees_pane","Suite","Sat Oct 19 06:26:47 CDT 2024","passed","Sat Oct 19 06:26:49 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","invalid_trees_pane"
"","2049","userClicks_linked_list","Suite","Sat Oct 19 06:24:15 CDT 2024","passed","Sat Oct 19 06:24:17 CDT 2024","StepDefination.LinkedListFile","Test5","StepDefination.LinkedListFile","userClicks_linked_list"
"","2000","valid_trees_pane","Suite","Sat Oct 19 06:27:51 CDT 2024","passed","Sat Oct 19 06:27:53 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","valid_trees_pane"
"","2071","Array_invalid","Suite","Sat Oct 19 06:22:06 CDT 2024","passed","Sat Oct 19 06:22:08 CDT 2024","StepDefination.ArraysDocClassFile","Test1","StepDefination.ArraysDocClassFile","Array_invalid"
"","1871","valid_trees_pane","Suite","Sat Oct 19 06:27:40 CDT 2024","passed","Sat Oct 19 06:27:42 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","valid_trees_pane"
"","1888","valid_trees_pane","Suite","Sat Oct 19 06:27:57 CDT 2024","passed","Sat Oct 19 06:27:59 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","valid_trees_pane"
"","2055","queues_paneIn","Suite","Sat Oct 19 06:24:51 CDT 2024","passed","Sat Oct 19 06:24:53 CDT 2024","StepDefination.QueuesFile","Test6","StepDefination.QueuesFile","queues_paneIn"
"","1952","Dspage","Suite","Sat Oct 19 06:22:42 CDT 2024","passed","Sat Oct 19 06:22:44 CDT 2024","StepDefination.DataStructure","Test2","StepDefination.DataStructure","Dspage"
"Verify Queues and Topics........","2010","Verify Queuepane on DsAlgo","Suite","Sat Oct 19 06:25:14 CDT 2024","passed","Sat Oct 19 06:25:16 CDT 2024","StepDefination.QueuesFile","Test6","StepDefination.QueuesFile","queues_pane_validcode"
